21Q1,Disc,List,Prem,Total Sales,% Prem,Avg Close Price (000s)
Saddle Ranch West,,1,12,13,92%,562
Saddle Rock,10,12,19,41,46%,564
Saddle Rock Ridge,2,1,32,35,91%,473
Saddlebrook Farm,,,2,2,100%,456
Saddlebrooke,1,1,1,3,33%,357
Sagamore,,,2,2,100%,633
Sage Creek (A),3,3,32,38,84%,427
Salisbury Heights,1,,,1,0%,715
Sanctuary Point,,,1,1,100%,876
Sand Creek,3,3,19,25,76%,600
Scotch Pines,1,1,2,4,50%,290
Scott Road,,1,,1,0%,1200
Second Creek Farm,2,9,2,13,15%,401
Security,,,5,5,100%,315
Security-Fountain Valley,,,3,3,100%,329
Sedalia,2,,1,3,33%,1372
Settlers Village,9,6,19,34,56%,224
Seven Hills,,,17,17,100%,401
Shadycroft,5,3,12,20,60%,633
Shaw Hts,2,6,18,26,69%,392
Sheridan,3,1,1,5,20%,377
Sheridan Green,1,,10,11,91%,498
Sherrelwood North,3,4,14,21,67%,417
Sherrelwood South,3,5,14,22,64%,393
Side Creek,4,3,20,27,74%,332
Side Hill,4,2,2,8,25%,469
Sierra Ridge,2,2,4,8,50%,681
Sierra Vista (A),2,,,2,0%,933
Signal Creek,,1,18,19,95%,509
Silver Plume,1,,1,2,50%,373
Sixth Ave West,1,,2,3,67%,545
Skyland,4,,8,12,67%,692
Skyview at Candelas,,1,,1,0%,1000
Sloan East,9,8,21,38,55%,827
Sloan West,5,,2,7,29%,1039
Smoky Hill,3,2,21,26,81%,508
Smoky Ridge,1,3,20,24,83%,473
Soaring Eagles,,1,4,5,80%,323
Soda Creek,1,,1,2,50%,945
Sorrel Ranch,2,4,10,16,63%,400
South 45th,1,,,1,0%,200
South College Heights,,,1,1,100%,486
South Downtown,1,,,1,0%,700
South End,1,1,6,8,75%,492
South Golden,1,,1,2,50%,675
Southborough,1,,4,5,80%,283
Southbridge,11,2,19,32,59%,458
Southcreek,6,14,33,53,62%,376
Southdowns at Roxborough,2,1,2,5,40%,1191
Southeast Black Forest,,1,,1,0%,590
Southglenn,14,9,21,44,48%,407
Southmoor Park,4,4,8,16,50%,516
Southmoor Village,1,1,1,3,33%,390
Southmoore Village Condos,1,1,2,4,50%,316
Southridge Greens,,,1,1,100%,653
Southshore,7,4,7,18,39%,727
Southwood,8,1,14,23,61%,714
Speer,31,7,37,75,49%,521
Spring Creek HOA,1,,,1,0%,520
Spring Ranch,,3,1,4,25%,918
Springfield Green,7,1,10,18,56%,938
Stadium Heights,,,1,1,100%,300
Standley Heights,2,,3,5,60%,606
Stanton Creek,,,1,1,100%,302
Stapleton Future,,1,7,8,88%,711
Steel Ranch South,1,,,1,0%,638
Sterling Hills,4,3,26,33,79%,369
Stetson Creek,,,1,1,100%,560
Stetson Hills East,1,,5,6,83%,343
Stetson Hills West,,,6,6,100%,396
Stone Ridge,,1,,1,0%,388
Stonegate East,,,3,3,100%,657
Stonegate North,3,6,20,29,69%,477
Stonegate South,1,2,19,22,86%,620
Stonehenge (L),,,1,1,100%,388
Storybrook,,,1,1,100%,484
Stratford Park Condonminiums,,1,1,2,50%,302
Stratmoor Valley,2,,,2,0%,265
Stroh Ranch,5,,22,27,81%,435
Sugar Creek,,2,8,10,80%,455
Summer Valley,7,9,20,36,56%,350
Summit Ridge,1,1,9,11,82%,558
Summit View,1,1,12,14,86%,594
Sundance (B),,,1,1,100%,703
Sunny Crest Hills South,,1,6,7,86%,685
Sunnyside East,6,1,15,22,68%,627
Sunnyside West,9,3,22,34,65%,703
Sunridge,12,7,13,32,41%,227
Sunrise Creek,,1,7,8,88%,605
Sunset Ridge,1,3,23,27,85%,422
Sunwest North,,,2,2,100%,690
Superior Town Center,2,,1,3,33%,766
Table Mesa North,1,,,1,0%,1693
Table Mesa South,3,,1,4,25%,949
Takoda,1,,,1,0%,980
Tallman Gulch,,2,,2,0%,1243
Tallyn's Reach,7,2,21,30,70%,671
Tantra Park,1,1,,2,0%,419
Tennyson Park,,3,12,15,80%,483
Terra Ridge,1,,,1,0%,660
The Boulder HOA,,,1,1,100%,440
The Boulders,1,,,1,0%,368
The Dam,41,19,20,80,25%,271
The Farm,2,,5,7,71%,593
The Meadows (D),10,12,64,86,74%,527
The Meadows (J),4,4,20,28,71%,491
The Pointe at Mesa Ridge,,,2,2,100%,398
The Preserve at GV,3,2,,5,0%,1640
The Ranch,3,1,14,18,78%,576
The Ridge (L),1,1,3,5,60%,517
The Shops at Northfield,2,,3,5,60%,640
The Summit,,,1,1,100%,415
The Timber West,2,,,2,0%,1173
The Timbers,1,,,1,0%,1165
The Trails,3,,,3,0%,837
The Woodlands,2,,10,12,83%,646
Todd Creek Farms,9,11,17,37,46%,685
Tollgate Crossing,3,1,14,18,78%,527
Tollgate East,13,8,16,37,43%,262
Tollgate West,,1,6,7,86%,410
Torrey Peaks,,,3,3,100%,573
Town and Country Village,,2,8,10,80%,310
Townview at Candelas,2,1,3,6,50%,635
Traditions,,2,14,16,88%,477
Trail Head,,,2,2,100%,451
Triangle Point,1,,10,11,91%,399
Troutdale Village,,2,1,3,33%,1350
Troutman  Park Neighborhood Group,1,1,2,4,50%,453
Turnberry,4,2,24,30,80%,458
Tuscany,2,2,2,6,33%,769
Twain Park,,,1,1,100%,350
Twenty Mile Village,,,1,1,100%,308
Twin Lakes,1,,,1,0%,565
Twin Spruce,1,,,1,0%,550
Union Station,47,25,2,74,3%,860
University,5,11,18,34,53%,664
University Acres,1,,,1,0%,620
University Hill,8,,1,9,11%,1213
University Hills,10,4,28,42,67%,715
University North,1,,,1,0%,375
University Park (D),21,12,9,42,21%,1209
University Park (L),,,1,1,100%,443
Unknown 1,1,2,3,6,50%,572
Unknown 10,,,1,1,100%,1800
Unknown 11,25,21,9,55,16%,699
Unknown 4,,1,,1,0%,215
Unknown 5,6,10,32,48,67%,920
Unknown 9,5,4,5,14,36%,379
Upper Skyway,1,,,1,0%,1700
Valle Del Rio,1,,,1,0%,990
Valley View,13,5,20,38,53%,507
Valleyview at Candelas,1,,1,2,50%,728
Valverde,6,2,5,13,38%,316
Villa Loma,,2,5,7,71%,302
Villa Park,5,2,10,17,59%,425
Village Center at Woodmoor,1,1,3,5,60%,472
Village East (A),4,3,12,19,63%,481
Village of Five Parks,2,,1,3,33%,538
Village of Milan,,,2,2,100%,670
Village Seven,,1,4,5,80%,343
Virginia Village East,6,3,10,19,53%,614
Virginia Village West,8,5,20,33,61%,589
Vista Grande,,1,3,4,75%,435
Vista Grande North,,,6,6,100%,349
Vista Ridge,7,3,13,23,57%,615
Voyager Interquest,3,1,11,15,73%,419
Voyager Pkwy,,,1,1,100%,1030
Wadley Farms,8,2,13,23,57%,592
Wagon Trails,,,3,3,100%,433
Wagon Wheel,1,,1,2,50%,398
Walnut Hills,2,2,15,19,79%,463
Wandering View,,,1,1,100%,630
Wash Park East,23,9,19,51,37%,1355
Wash Park West,17,12,22,51,43%,854
Washington Virginia Vale,10,12,17,39,44%,501
Wasson,,1,,1,0%,335
Wasson North,1,1,1,3,33%,515
Waterford Park,1,,,1,0%,1369
Waverly Acres,4,2,2,8,25%,487
Welby,1,2,6,9,67%,282
Wellshire,3,5,10,18,56%,1069
West Colfax,30,35,40,105,38%,599
West Pearl,1,,,1,0%,1750
West Ridge,2,2,9,13,69%,431
West Woods Ranch,1,1,3,5,60%,629
Westbrook North,,,9,9,100%,468
Westbrook South,1,2,14,17,82%,365
Westchase,1,1,1,3,33%,616
Westcliff,2,1,9,12,75%,596
Westcreek,2,6,1,9,11%,335
Westerly Creek,1,2,8,11,73%,679
Westfield 1,1,1,,2,0%,372
Westfield 2,1,,1,2,50%,363
Westfield Park,,,1,1,100%,505
Westhaven Heights,,,1,1,100%,876
Westlake North,,1,9,10,90%,454
Westlake South,1,2,7,10,70%,468
Westminster,8,8,19,35,54%,263
Westmoorland,3,5,9,17,53%,490
Westside,1,1,2,4,50%,535
Westwood,,,1,1,100%,252
Westwood East,13,3,11,27,41%,342
Westwood West,1,4,5,10,50%,389
Wheatlands,4,1,11,16,69%,579
Whispering Pines (D),,,2,2,100%,634
Whittier (B),9,3,2,14,14%,712
Whittier (D),7,5,15,27,56%,765
Wicker Park,3,3,10,16,63%,806
Wicker Park East,1,1,1,3,33%,790
Wide Acres Orchard South,3,,10,13,77%,583
Wild Flower Ponds,7,4,13,24,54%,826
Wildcat Ridge,,,10,10,100%,703
Wildflower Ranch,1,,,1,0%,6450
Wildgrass,2,,5,7,71%,734
Wildwood Village,,,1,1,100%,546
Wildwood West,,1,2,3,67%,318
Willis Heights,,,1,1,100%,595
Willow Creek,,3,15,18,83%,612
Willow Green HOA,,1,,1,0%,415
Willow Lane,1,,,1,0%,212
Willow Park (A),6,10,28,44,64%,298
Willow Park (D),,,6,6,100%,536
Willow Park (L),,,1,1,100%,410
Willow Ridge,,,5,5,100%,530
Willowbrook,6,2,5,13,38%,1219
Willows,1,,,1,0%,775
Winding Trail Village,1,,2,3,67%,509
Windmill Mesa,,,2,2,100%,359
Windsor,45,23,21,89,24%,224
Wollenweber,4,2,10,16,63%,501
Wood Creek 2,,,4,4,100%,395
Wood Creek 3,1,6,26,33,79%,489
Wood Creek North,7,3,22,32,69%,363
Wood Creek South,,1,7,8,88%,531
Woodgate,6,5,22,33,67%,374
Woodglen,5,1,40,46,87%,442
Woodhaven / Meadowbrook,6,8,15,29,52%,424
Woodland Valley,2,6,13,21,62%,481
Woodland Village,1,,,1,0%,1100
Woodmar Square,,,6,6,100%,527
Woodmen Hills North,1,,1,2,50%,397
Woodmen Hills South,,1,3,4,75%,513
Woodmoor,4,1,10,15,67%,638
Woodmoor Greens,,,5,5,100%,425
Woodmoor Mtn,1,2,,3,0%,645
Woodridge Neighborhood Group,1,,1,2,50%,525
Woodrim,2,1,11,14,79%,380
Young-American,,,2,2,100%,374
Grand Total,3446,2607,7754,13807,56%,556
